"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\audit.rs", "Rust", 90, 8, 12, 110
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\engine.rs", "Rust", 541, 30, 15, 586
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\impact.rs", "Rust", 56, 8, 5, 69
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\market.rs", "Rust", 194, 12, 7, 213
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\mod.rs", "Rust", 7, 0, 0, 7
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\py_strategy.rs", "Rust", 3, 6, 2, 11
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\replay.rs", "Rust", 183, 19, 11, 213
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\replay_rpc.rs", "Rust", 57, 5, 9, 71
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\scenario.rs", "Rust", 87, 6, 5, 98
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\types.rs", "Rust", 73, 6, 6, 85
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\validation.rs", "Rust", 108, 6, 6, 120
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\backtest_driver.rs", "Rust", 268, 24, 3, 295
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\latency_stress.rs", "Rust", 252, 23, 13, 288
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\raydium_pools.rs", "Rust", 31, 0, -1, 30
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\recorder.rs", "Rust", 172, 14, 11, 197
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\config.rs", "Rust", 397, 12, 9, 418
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\config_reload.rs", "Rust", 133, 4, 4, 141
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\engine\allocator.rs", "Rust", 9, 0, -1, 8
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\engine\mod.rs", "Rust", 103, 8, 0, 111
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\engine\py_strategy.rs", "Rust", 23, 5, -1, 27
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\engine\strategy.rs", "Rust", 8, 3, 2, 13
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\lib.rs", "Rust", 2, 0, -1, 1
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\main.rs", "Rust", -1, 1, -1, -1
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\metrics.rs", "Rust", 532, 23, 11, 566
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\arbitrage.rs", "Rust", 385, 1, -1, 385
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\compute_budget_estimator.rs", "Rust", 16, 0, 0, 16
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\compute_budget_helper.rs", "Rust", 26, 0, 0, 26
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\mod.rs", "Rust", 12, 0, -1, 11
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\orca.rs", "Rust", 300, 11, -1, 310
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\orca_whirlpool_layout.rs", "Rust", 77, 0, -1, 76
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\raydium.rs", "Rust", 594, 10, 1, 605
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\router.rs", "Rust", 151, 0, 0, 151
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\mod.rs", "Rust", 3, 0, -1, 2
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\rpc.rs", "Rust", 564, 12, 25, 601
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\sniper.rs", "Rust", 1883, 97, 16, 1996
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\token_utils.rs", "Rust", 37, 5, 3, 45
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\types.rs", "Rust", 3, 0, -1, 2
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\wallet.rs", "Rust", 178, 14, 2, 194
"Total", "-", 7557, 373, 167, 8097
