"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\audit.rs", "Rust", -90, -8, -12, -110
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\engine.rs", "Rust", -605, -32, -21, -658
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\impact.rs", "Rust", -56, -8, -5, -69
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\market.rs", "Rust", -239, -12, -12, -263
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\mod.rs", "Rust", -10, -1, -1, -12
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\py_strategy.rs", "Rust", -3, -6, -2, -11
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\replay.rs", "Rust", -183, -19, -11, -213
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\replay_rpc.rs", "Rust", -57, -5, -9, -71
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\scenario.rs", "Rust", -87, -6, -5, -98
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\types.rs", "Rust", -115, -6, -17, -138
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\backtest\validation.rs", "Rust", -108, -6, -6, -120
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\backtest_driver.rs", "Rust", -289, -26, -5, -320
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\latency_stress.rs", "Rust", -252, -23, -13, -288
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\raydium_pools.rs", "Rust", -100, 0, -9, -109
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\recorder.rs", "Rust", -172, -14, -11, -197
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\config.rs", "Rust", -488, -15, -22, -525
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\config_reload.rs", "Rust", -133, -4, -4, -141
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\engine\allocator.rs", "Rust", -30, -1, -4, -35
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\engine\mod.rs", "Rust", -253, -17, -17, -287
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\engine\py_strategy.rs", "Rust", -65, -7, -7, -79
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\engine\strategy.rs", "Rust", -28, -6, -9, -43
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\lib.rs", "Rust", -9, 0, -1, -10
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\main.rs", "Rust", -34, -6, -9, -49
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\metrics.rs", "Rust", -717, -43, -23, -783
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\arbitrage.rs", "Rust", -683, -49, -21, -753
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\compute_budget_estimator.rs", "Rust", -61, -6, -6, -73
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\compute_budget_helper.rs", "Rust", -27, 0, -1, -28
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\mod.rs", "Rust", -37, -1, -4, -42
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\orca.rs", "Rust", -484, -23, -25, -532
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\orca_whirlpool_layout.rs", "Rust", -159, -46, -10, -215
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\raydium.rs", "Rust", -1233, -66, -43, -1342
