timestamp_utc,program,mint,top1_pct,top3_pct,top5_pct,burned_pct,program_locked_pct,liquidity_sol,decision,notes
2025-12-22T05:20:06.211746784+00:00,RAYDIUM,3rnDYK3nAnVjVP4cb76pLrRNmsU1LnRh3xLfNSnVpump,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:06.602033074+00:00,RAYDIUM,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:06.602271653+00:00,RAYDIUM,CdZBxM9o9F6vB7v2tkS1GjqqpegV7M8zS8ePvTB4A6ee,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:06.602486166+00:00,RAYDIUM,3rnDYK3nAnVjVP4cb76pLrRNmsU1LnRh3xLfNSnVpump,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:07.006157846+00:00,RAYDIUM,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:07.835233872+00:00,RAYDIUM,Hv35FZTLS4CVX1ZKXDDZCC95TRAgovdoQLPcfyNzGKdd,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:08.146185357+00:00,RAYDIUM,67iVSrbgQKiPjttU9uXx9CXUoS1Si3XUhrXeiNAUUZSR,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:08.858222820+00:00,RAYDIUM,3rnDYK3nAnVjVP4cb76pLrRNmsU1LnRh3xLfNSnVpump,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:08.858506086+00:00,RAYDIUM,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:09.292894865+00:00,RAYDIUM,6VHL2vMKgrF1YQFSv29Rs1pj9VCRK29bD11NtDqerqHA,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:09.294182503+00:00,RAYDIUM,9SYDVJpHrtnrJazE2j8ubzd5VE5oFChdu6pDSNBpump,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:09.294705691+00:00,RAYDIUM,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,0,0,0,0,0,50,SKIP,known_in_raydium
2025-12-22T05:20:09.574556369+00:00,RAYDIUM,4SHT1Kp2cNqowHC8oEjyvnxk6mZYBL7UYUrMf3zJdWrw,0,0,0,0,0,50,SKIP,known_in_raydium
