timestamp_utc,side,mint,dex,signature,lamports_in,lamports_out,tokens_in,tokens_out,expected_tokens_out,expected_sol_out,shortfall_tokens,shortfall_sol,network_fee_lamports,realized_pnl_sol,notes
2025-12-22T06:45:37.276526469+00:00,SELL,L143SBd7s7h51dQ7ogea7SSDngJELjaw7SPJRRFpump,*,3YP84kKiwsY65e5JmbfjBipirqaFUeMPbZsaDEZdVJUfy8ST3F7R9QBNPZqSBsbvcpFuxzpW2qW4yGkDvo84uQmi,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T14:26:42.159826488+00:00,SELL,4CVAGQpd1wAJN9xQvwpmLPB8krLHD3bUjY9d6vS2pump,*,62mjchNgDCj6JPsJ2PbrmDZxS3stdqYf4F8jcUtbzQhyuxKZ24HH9F5Utm77ks3knxQWPkzFwHhHRUAVbyWU3ihN,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:53:30.187288489+00:00,SELL,59ADMHqa1BpyQF29HbHwMzZjGcjB5qMbv1qhfAFMkL5y,*,5DKge6smyoyzufA7Tay3f1roTpMM3ACkvXYHgbZRTsNZCVwnTSQ9sB4npnbdJFGnkZ72T4gYZsZ1EJMeSHg4CRyp,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:53:30.187298073+00:00,SELL,GGV8hQqbUVMmvHCgSaYpNe28uALkgQVQqvdwfKnapump,*,3NZEiRjVgvMRYuZbGEtEnEpnN2SffNH7aj7MZF6nNBLhxmfTpNvW4paoHHarfwPRJcx9dE4wkoCBEt1uKsobhRXz,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:53:30.187501490+00:00,SELL,JAAk2A4HNvP1jCgGbwq8bRFayoDzP7bp3tw9wkzbpump,*,HSZ5FwzWujdTQum1LKc5Qo9evy5y9tSkLSD84pYnDjgBaK41anzDGZdCQSbvpoBtt2oL7K36J4zse4UN1Gj8mQ3,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:53:30.188047761+00:00,SELL,EiBKWoZVuF4q6AZ7zjMvoVoECoxxky24yTryjMvRpump,*,2Z49hCZtMCULncfSJXn8EXVUUBghuv4vUsWyzjjrcYcnX3UEzkXDuXVoULN9Kh1QsE9oaMZMFwoPxTT8ogkivUMz,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:53:36.659507825+00:00,SELL,DuhHErN4ojXnaeP49NncRivy9Y3JJqynWF74f2Zzpump,*,2Dkoh4uVo5zZRTdLCZLoP7CtA7uWWWgyq9UedwjKLrvjjeq7SVgMwwaBp4usrykuC8irkNQKUiX9XH5aNfuxpiNz,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:54:13.139518553+00:00,SELL,9nsapQfNE4wN2Xgm5v8X9oCic7W2TeGKsK16HH7tpump,*,4mp9KMAxrRYvVDyBLn4NnupCm5R9BaCTeGbDcxtTF2xyRiux5LZSwY7F6BGoHrJWwKgdiNk5gggonGXVXhKhLix,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:54:13.139518523+00:00,SELL,3JuLHGMfBrMyCjd4R9Evfocnh2DUsfnS5oCEEj2opump,*,5C3tVhf465AgDnWpzWwPhbrCrUsV5aGBP6eCuWyZQPYM1ZQsS1tEYNJkCpYWFYpGWYq9jP3iTzdsc77Hszzsj2Ff,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:54:13.355780331+00:00,SELL,EjPDMsYh6pvbiWBVSckabvRagCG73vEQgWEEGBw4pump,*,5yst6V6nRHFjkGA6MVTw2tTvMmabfYWV8XEZKFciYMVaMfwhgB9YyMubrq2t5N8YTeuzRKZsTos8A5HtzE3mvJGw,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:54:16.364867761+00:00,SELL,AQV9pUB45yQHcvZKc9U2PXYftEZu8za1mfz6PXeYWs9a,*,3jqw3r7R21Bm2Bpj8FM624A4Yzfpdr4rtqeTQNzTXxf5JZKd7YMirxs9gDN92P6TfZZL9wAJ7fpj6fbdKoRoEqJ8,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:54:26.991715844+00:00,SELL,MDBvkihFj1znuVpG1xcJpP8hVG3PPNDQD6wJ8c4uwmh,*,5uPdJ8C6Yp4kuo1cJcCRbWWkcUr77NACHuho9f8uFLsZ9LmLypjDHbzJwyerDXnsP2jG6AWsqubDRDgQyF4BpP3Y,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:54:44.403580116+00:00,SELL,BS2WhyjcMQe2WkcHz2RSrudYbUofQD5j8A2N1Nxcpump,*,1PF45Y44iHUDJQyacpf3PRfyKZxAp2yz8qgMjXj6124etiNLL2AEdyQKAxyvEMXfed5JS83kavrCkAEddaHQAGf,0,0,176121303631,176121303631,,,0,,0,-0.005,exit_fraction=1
2025-12-22T16:54:44.709495234+00:00,SELL,CqP647j5nxAwyRcF6FMyyMunN2yUTok8w8qG3Gpipump,*,5zVAXrpyYbFgvQmaQLaMq5mNH9mF8nhixBi9z5M3JUuz8xeHbPg4KsKd48Lmt8ghTJv23RTyNG67Ei2YzUs9CvuS,0,0,176121479752,176121479752,,,0,,0,-0.005,exit_fraction=1
2025-12-22T18:48:10.856055251+00:00,SELL,3HiTSaFjybL68LWNpeuc9un7zoMM6zyCcBPNBajupump,*,o8ZxcjXfwggqERmyGixPWeqfEwB6aKcqBWUMktPNra5MXDABoD7ak5gkvNJ5xRvESHpsCRvivUezrqFSFmkD2fu,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T18:48:11.650061373+00:00,SELL,FjmY29mxdbtQk5C7DTGHHuX1iF4ciTsiJUpUakPxpump,*,5akD4jnqXAkKzqbm5mkEoqKbvfeSbx8pJ5TJiQedtnLbx2PvpbAHJQCXu2WjwWjFiCNQ9wuKusVkWGGrEgQbBdau,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T18:48:11.650930772+00:00,SELL,6kGe5is4qjoHiaRikBT2tFn4dJHqJqhsqTZQdB95Y3vN,*,3BhzsLuZVMPFvixgB6bChq98cMpkE8pDGRNh7d6SJhwJsBqoeiSqMXJCzNaK6xTynGhWr8hnXyADWMm62w6xE8eL,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T18:48:11.762932152+00:00,SELL,GPqrk6oFrj5XCNEuajrF8zXsPDy9HteKXiyzSxhFpump,*,4vbhNWQCHpLykCgXHDbFybW9i6864LTyYMSdhnE2nVde9FnSzntXykxewWh5AsU7nqbFKpz5hAJVwtSHAsZbmj5z,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T18:48:11.864724570+00:00,SELL,3dtx4JwJ3tjyQnxTjaCU6G3g5VJ6ge7Gm6fU3FXBFLPz,*,5vNbCvvjNdhNoQXyatWtfAhd75M7ry12XSiUZRikeixuEQQC9nEfnA2kf9UvaQLTjxUGamFAupF6877QfrkChXN1,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
2025-12-22T18:48:54.472864740+00:00,SELL,2KuQEqNG58RFgXkoqbpMwuj9RfRkCTvHN9CodY4upump,*,4uLMHEeNagG3U9D7NHWKacPmcTWKw2YSvq55BAJFX9WrhKyzXZCHDaf3GEHStDz32BqZnHGtq5MhbxG6W6PmSSL7,0,0,50959006831,50959006831,,,0,,0,-0.0015,exit_fraction=0.3
