"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\arbitrage_cycle_generic.rs", "Rust", 43, 1, 3, 47
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\arbitrage_cycle_pruning.rs", "Rust", 33, 2, 2, 37
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\arbitrage_edge_aggregate.rs", "Rust", 31, 0, 3, 34
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\arbitrage_profit.rs", "Rust", 10, 3, 1, 14
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\arbitrage_profit_ranking.rs", "Rust", 45, 6, 3, 54
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\backtest_engine.rs", "Rust", 39, 3, 5, 47
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\bench_quote_refresh.rs", "Rust", 28, 3, 1, 32
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\cfm_adapter.rs", "Rust", 8, 0, 4, 12
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\common.rs", "Rust", 11, 0, 3, 14
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\compute_budget_estimator.rs", "Rust", 15, 0, 3, 18
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\raydium_quote.rs", "Rust", 15, 3, 4, 22
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\raydium_quote_validation.rs", "Rust", 10, 5, 2, 17
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\raydium_simulation.rs", "Rust", 24, 8, 2, 34
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\raydium_swap_ix.rs", "Rust", 30, 6, 2, 38
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\raydium_swap_plan.rs", "Rust", 15, 4, 3, 22
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\router_best_quote.rs", "Rust", 20, 4, 4, 28
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\sniper_partial_exit.rs", "Rust", 20, 6, 6, 32
"Total", "-", 397, 54, 51, 502
