"filename", "language", "Rust", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\address_lookup_table.rs", "Rust", 156, 0, 0, 0, 42, 28, 226
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\arbitrage.rs", "Rust", 948, 0, 0, 0, 98, 53, 1099
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\compute_budget_estimator.rs", "Rust", 61, 0, 0, 0, 17, 6, 84
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\compute_budget_helper.rs", "Rust", 27, 0, 0, 0, 0, 1, 28
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\cross_dex_handler.rs", "Rust", 945, 0, 0, 0, 290, 98, 1333
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\meteora_bin_array_layout.rs", "Rust", 94, 0, 0, 0, 43, 36, 173
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\meteora_bin_walker.rs", "Rust", 169, 0, 0, 0, 42, 55, 266
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\meteora_cpmm.rs", "Rust", 511, 0, 0, 0, 121, 91, 723
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\meteora_cpmm_layout.rs", "Rust", 120, 0, 0, 0, 43, 19, 182
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\meteora_dlmm.rs", "Rust", 652, 0, 0, 0, 161, 115, 928
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\meteora_dlmm_layout.rs", "Rust", 91, 0, 0, 0, 36, 30, 157
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\meteora_swap_builder.rs", "Rust", 241, 0, 0, 0, 141, 52, 434
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\mod.rs", "Rust", 66, 0, 0, 0, 26, 9, 101
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\orca.rs", "Rust", 1243, 0, 0, 0, 228, 148, 1619
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\orca_reserve_cache.rs", "Rust", 132, 0, 0, 0, 9, 15, 156
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\orca_whirlpool_layout.rs", "Rust", 159, 0, 0, 0, 46, 10, 215
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\pumpfun.rs", "Rust", 795, 0, 0, 0, 218, 112, 1125
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\pumpfun_amm.rs", "Rust", 2324, 0, 0, 0, 274, 268, 2866
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\raydium.rs", "Rust", 1501, 0, 0, 0, 163, 108, 1772
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\raydium_cpmm.rs", "Rust", 457, 0, 0, 0, 102, 97, 656
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex\router.rs", "Rust", 334, 0, 0, 0, 28, 17, 379
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\dex_parser.rs", "Rust", 987, 0, 0, 0, 264, 165, 1416
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\execution.rs", "Rust", 360, 0, 0, 0, 69, 63, 492
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\geyser_listener.rs", "Rust", 489, 0, 0, 0, 60, 56, 605
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\geyser_pool_discovery.rs", "Rust", 546, 0, 0, 0, 152, 77, 775
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\geyser_tx_confirm.rs", "Rust", 440, 0, 0, 0, 111, 82, 633
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\geyser_tx_confirm_windows.rs", "Rust", 39, 0, 0, 0, 22, 10, 71
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\jito.rs", "Rust", 415, 0, 0, 0, 74, 59, 548
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\kill_switch.rs", "Rust", 270, 0, 0, 0, 41, 43, 354
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\mod.rs", "Rust", 24, 0, 0, 0, 0, 1, 25
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\priority_fee_tracker.rs", "Rust", 216, 0, 0, 0, 63, 53, 332
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\rpc.rs", "Rust", 725, 0, 0, 0, 25, 46, 796
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\token_utils.rs", "Rust", 37, 0, 0, 0, 5, 3, 45
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\tpu_client.rs", "Rust", 268, 0, 0, 0, 69, 57, 394
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\tx_sender.rs", "Rust", 455, 0, 0, 0, 72, 56, 583
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\solana\wallet_tracker.rs", "Rust", 396, 0, 0, 0, 40, 62, 498
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\storage\jsonl_writer.rs", "Rust", 233, 0, 0, 0, 44, 52, 329
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\storage\locks.rs", "Rust", 556, 0, 0, 0, 128, 132, 816
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\storage\mod.rs", "Rust", 4, 0, 0, 0, 9, 3, 16
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\tx_fee_parser.rs", "Rust", 125, 0, 0, 0, 27, 23, 175
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\types.rs", "Rust", 60, 0, 0, 0, 11, 12, 83
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\wallet.rs", "Rust", 495, 0, 0, 0, 80, 55, 630
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\wallet_test_utils.rs", "Rust", 10, 0, 0, 0, 1, 3, 14
"Total", "-", 45423, -936, -5, -66, 8402, 5679, 58497
